Frequency,Signal To Noise,Max Magnitude,Avg dBm,Average Phase,Entropy,PSD,Amplitude,RMS,Classification
1510507286,0.00016359625,1080.726,41.23,1203.9293,5.039344687970095,-7.060002,538.14276,364.42584,Jamming
1134837291,4.7921453,380.38092,35.11,38.961258,5.24509779884494,-7.8656096,188.90387,180.06743,Jamming
120000000,0.10133305,1.3402827,-11.71,-7.36668,4.32607650274686,-6.697977,0.6248048,0.82176375,Safe
1812115318,0.8165661,1203.5488,41.87,396.78085,5.009822020609649,-7.0778694,600.5458,392.16077,Jamming
120000000,0.019499034,1.3032902,-11.85,1.9236894,4.223804341318079,-6.607993,0.61410326,0.8084604,Safe
1589478346,0.08893338,482.65894,35.21,-7.4308367,5.154253373349807,-7.284477,240.26512,182.23148,Jamming
492266571,1.3528703,588.07214,37.01,3463.0684,5.13992162776701,-7.239047,293.0794,224.22998,Jamming
100000000,0.039655868,1.2834957,-12.08,17.163221,4.353802490157976,-6.7154293,0.5526075,0.78742045,Safe
90000000,0.016422033,1.3306912,-11.83,15.813285,4.359034630741636,-6.6537085,0.6436973,0.8102097,Safe
473317099,5.1253915e-05,475.65714,36.26,10750.313,5.07188649649441,-7.2865047,237.27495,205.50241,Jamming
788474949,4.6594498e-05,308.4811,35.18,5667.261,4.840974784161229,-7.583129,148.82245,181.55219,Jamming
90000000,0.010202093,1.3354766,-11.66,-22.73768,4.312213665165901,-6.6953554,0.65067184,0.82568187,Safe
100000000,0.03212189,1.263334,-12.02,-16.64489,4.378130757596996,-6.652509,0.5767947,0.7925236,Safe
140000000,0.0031797034,1.3747234,-11.79,-0.18267089,4.281090373095512,-6.7018538,0.6602253,0.81402296,Safe
90000000,0.039114602,1.2538607,-12.05,16.845308,4.322678047976137,-6.6289783,0.53867424,0.78931636,Safe
435835209,0.054935742,1744.0321,37.22,-58.211544,3.829683749227945,-8.110623,871.7736,229.71165,Jamming
140000000,0.011183858,1.3364453,-12.14,-11.163189,4.336541580026554,-6.7461767,0.63620245,0.78155065,Safe
100000000,0.021303073,1.3603772,-11.87,9.123712,4.359035491172162,-6.674815,0.6550079,0.80592513,Safe
1920066209,0.770851,361.82874,35.3,1456.592,5.11408022078294,-7.5752993,179.76071,184.16193,Jamming
1221182794,0.023832414,1048.1637,40.43,-84.69826,4.988685062667493,-7.054637,522.80707,332.16412,Jamming
968579957,9.318939e-06,681.26294,35.17,-4.2954087,4.909065778895055,-7.6998158,340.35855,181.3948,Jamming
120000000,0.02234929,1.3728482,-12.02,-2.263626,4.312213541289209,-6.795779,0.64223546,0.7927255,Safe
140000000,0.016560258,1.3170023,-12.02,5.4804955,4.2931182558396,-6.685942,0.6132315,0.792862,Safe
682680472,0.00010975512,1125.7598,40.96,99.60791,4.981988350858996,-7.0436535,560.8497,353.21255,Jamming
100000000,0.07278275,1.3116113,-11.75,11.6842785,4.348570654841067,-6.6755633,0.54996717,0.81731075,Safe
1725113908,0.00015168914,797.90204,38.78,3614.3975,5.031593062056247,-7.1523657,397.8664,274.84027,Jamming
140000000,0.03562222,1.3339677,-11.56,12.45864,4.350404679753778,-6.6577272,0.6109089,0.8356738,Safe
1541227682,7.662179e-05,913.18695,38.32,118.95786,4.897698036099026,-7.234065,455.2477,260.62302,Jamming
1189416594,2.3004103,401.6969,35.2,4291.016,5.192183239356631,-7.7808933,200.28586,181.89622,Jamming
1134196662,0.009505272,2797.8264,46.36,-68.65781,4.700217195966078,-7.293024,1397.5885,657.58435,Jamming
699689323,2.3297309e-05,916.25104,39.94,3949.5493,5.04805043057881,-7.093458,456.76483,314.17587,Jamming
1011117304,0.014694909,2122.228,44.33,129.75005,4.743494306663761,-7.272042,1059.0991,520.6644,Jamming
70000000,0.0042328807,1.344796,-11.56,-7.3518977,4.32607657244446,-6.7170067,0.57850444,0.83570886,Safe
746354316,0.0003354692,811.4974,38.84,3691.0342,5.02577232601111,-7.150388,404.49286,276.54172,Jamming
90000000,0.0038030539,1.3717848,-12.1,6.9721937,4.221969274918294,-6.7647266,0.6305678,0.7848673,Safe
1246729940,0.051361416,570.4765,36.43,170.10875,5.117715735872353,-7.142236,284.37076,209.57732,Jamming
1039200246,0.00016514934,909.594,37.09,-36.533638,4.78476461070184,-7.349045,454.43524,226.26546,Jamming
1444629121,5.7984184e-05,363.3168,35.59,1354.6005,5.0148198795109735,-7.3799934,178.088,190.24002,Jamming
140000000,0.090656586,1.3298392,-11.7,3.9321547,4.274022895076697,-6.6897473,0.64563036,0.822229,Safe
90000000,0.0455674,1.3851728,-11.29,8.010028,4.350405285020866,-6.65782,0.6538782,0.8620769,Safe
1951282676,0.058688454,1747.8013,37.69,-2.9873781,3.946635923835923,-8.011665,873.13715,242.29988,Jamming
1708753492,0.05603062,404.30295,35.09,790.44446,5.281648078888271,-7.2881513,201.28748,179.61049,Jamming
90000000,0.005324585,1.3387692,-12.0,6.779672,4.173584020645171,-6.7218823,0.63589233,0.7942212,Safe
533904616,0.00013253414,1016.01483,40.28,954.25854,4.987659385270497,-7.135254,506.21268,326.45676,Jamming
