Frequency,Signal To Noise,Max Magnitude,Avg dBm,Average Phase,Entropy,PSD,Amplitude,RMS,Classification
160000000,0.052634683,1.381176,-11.29,3.456965,4.2792554756683465,-6.640993,0.61343443,0.8617708,Safe
90000000,0.035549305,1.3405356,-12.08,0.36884046,4.3313094038667455,-6.7077546,0.5967794,0.78738195,Safe
160000000,0.0034725084,1.32476,-12.3,-5.9949703,4.221969180448535,-6.7934957,0.5940776,0.76762885,Safe
70000000,0.05058469,1.3678677,-11.77,-2.369773,4.260160222353951,-6.615208,0.65352654,0.8158303,Safe
70000000,0.003863574,1.3083875,-11.83,2.1609037,4.386760669641467,-6.598358,0.5634548,0.8096437,Safe
70000000,0.07181888,1.3559451,-12.09,-2.7233953,4.289721023877753,-6.7229586,0.6494485,0.78635055,Safe
160000000,0.009922138,1.3287622,-12.01,-1.1164302,4.3365421637882715,-6.712766,0.62807345,0.7931152,Safe
90000000,0.04032325,1.2696381,-11.88,13.475608,4.383363084511791,-6.718001,0.57594955,0.80538875,Safe
100000000,0.0956945,1.3691248,-11.69,9.842085,4.294952818679386,-6.5847325,0.6319554,0.82288706,Safe
90000000,0.03487914,1.3761923,-11.43,-4.043159,4.29834989362455,-6.7143598,0.6178113,0.84812814,Safe
120000000,0.018412948,1.4019461,-11.36,-30.957485,4.298350941567018,-6.6206837,0.6677198,0.8552792,Safe
90000000,0.10790068,1.3796252,-11.68,7.509717,4.279255444038034,-6.663823,0.685434,0.8239818,Safe
160000000,0.0175246,1.2906222,-11.99,-11.432627,4.378131465333163,-6.750964,0.5952639,0.79534906,Safe
100000000,0.06439155,1.3610831,-11.55,9.311526,4.199476014438609,-6.689837,0.6354885,0.8369786,Safe
70000000,0.11433637,1.2815565,-11.47,-2.5941114,4.331309326820499,-6.631384,0.6049352,0.84388137,Safe
100000000,0.04489673,1.2780242,-11.77,5.4421678,4.260159950766973,-6.5263166,0.55860746,0.81531096,Safe
90000000,0.04858492,1.3206398,-11.51,3.5138144,4.336541713549005,-6.6341243,0.59835756,0.8409106,Safe
140000000,0.04049764,1.384357,-11.61,-4.339397,4.300185684806461,-6.6518292,0.5998986,0.83119655,Safe
100000000,0.04468664,1.3825526,-11.86,12.475765,4.226509558924566,-6.6909094,0.65132105,0.80729103,Safe
120000000,0.0004928409,1.3511382,-12.0,-13.207663,4.298350344672544,-6.686891,0.6211922,0.7946895,Safe
90000000,0.08110643,1.3389457,-11.66,-10.109763,4.397226314207432,-6.620779,0.6319982,0.82590616,Safe
70000000,0.0038930574,1.3876808,-11.43,-6.6996117,4.391993735264732,-6.743084,0.63693017,0.84830034,Safe
90000000,0.005324585,1.3387692,-12.0,6.779672,4.173584020645171,-6.7218823,0.63589233,0.7942212,Safe
100000000,0.0021361026,1.3187824,-11.98,-1.444174,4.312214125288337,-6.621105,0.58111435,0.7957552,Safe
100000000,0.009778539,1.2815275,-12.45,1.3497124,4.326076811890154,-6.7777705,0.5988619,0.75441176,Safe
90000000,0.047116373,1.3812892,-11.8,-24.382402,4.284488767502073,-6.786462,0.64800584,0.8129968,Safe
90000000,0.008335045,1.3407936,-11.83,-4.186403,4.339939614926035,-6.7161236,0.5868405,0.80969155,Safe
120000000,0.038242284,1.3781788,-11.65,-6.56119,4.336541635612003,-6.6364512,0.6572423,0.82679975,Safe
160000000,0.046294317,1.3110471,-11.82,-1.1358888,4.306981542004227,-6.6136236,0.6349143,0.8105264,Safe
90000000,0.039114602,1.2538607,-12.05,16.845308,4.322678047976137,-6.6289783,0.53867424,0.78931636,Safe
90000000,0.025999028,1.3865658,-11.81,3.7279947,4.3919933631468755,-6.6571965,0.64986813,0.8117045,Safe
90000000,0.085173726,1.2973204,-12.04,1.6104083,4.231742005862897,-6.689022,0.6233794,0.7908115,Safe
100000000,0.07030468,1.3212306,-11.82,8.296644,4.336541435985801,-6.678761,0.5981177,0.8105147,Safe
160000000,0.022585697,1.238655,-11.82,-4.4330378,4.369499772093889,-6.6317534,0.5437824,0.81121844,Safe
90000000,0.003331799,1.2983954,-11.82,-7.9801507,4.265393007305553,-6.6429787,0.6075573,0.8109652,Safe
90000000,0.012316665,1.3382417,-11.63,8.482621,4.220405692647805,-6.726614,0.60322684,0.8291849,Safe
90000000,0.00892769,1.2611184,-11.96,-3.1032825,4.339939756673575,-6.680363,0.5776368,0.7978128,Safe
120000000,0.054467447,1.3142531,-11.36,14.895865,4.294952901956431,-6.619565,0.6172054,0.8552753,Safe
90000000,0.0038030539,1.3717848,-12.1,6.9721937,4.221969274918294,-6.7647266,0.6305678,0.7848673,Safe
90000000,0.04558277,1.2135875,-12.41,2.0426154,4.414486907197998,-6.6834507,0.59417737,0.7575971,Safe
70000000,0.028819826,1.372402,-11.79,17.041592,4.265392995206032,-6.6268897,0.65836245,0.8141966,Safe
120000000,0.047716036,1.1919509,-12.43,4.9100223,4.405856794525572,-6.672319,0.5685286,0.7561585,Safe
70000000,0.009738764,1.275019,-11.76,4.74169,4.3174459719178735,-6.648265,0.59638804,0.8164758,Safe
120000000,0.010997955,1.3297426,-11.64,3.115985,4.345172329457743,-6.783587,0.5971676,0.827794,Safe
100000000,0.041370537,1.3270105,-12.5,-23.413006,4.2758580540692925,-6.671894,0.646417,0.7494986,Safe
140000000,0.0035630362,1.331984,-11.99,1.6230701,4.3226788486483985,-6.6912904,0.6046911,0.794934,Safe
100000000,0.04263238,1.257107,-12.05,-0.23126508,4.331309253017869,-6.6612077,0.5838802,0.7898991,Safe
100000000,0.03364175,1.3729029,-11.53,7.5135326,4.267227610641715,-6.6522875,0.6553504,0.83865696,Safe
100000000,0.029014226,1.3947226,-11.39,1.8072058,4.287885751933015,-6.682333,0.6654325,0.85186696,Safe
120000000,0.042012528,1.3708932,-11.55,20.85211,4.24813164879425,-6.6945953,0.6526566,0.8364002,Safe
70000000,0.018652663,1.3856597,-11.94,-0.6419757,4.303583549446899,-6.744818,0.6159889,0.8001036,Safe
90000000,0.008942155,1.3898597,-11.53,-2.5718024,4.229036109559367,-6.7098036,0.6584634,0.8380996,Safe
120000000,0.020100463,1.3102376,-11.57,-5.7947974,4.331308576073407,-6.6503124,0.596271,0.8344701,Safe
70000000,0.021911466,1.34746,-11.53,19.144594,4.30358346141057,-6.732401,0.6324097,0.8386467,Safe
140000000,0.06161317,1.3399227,-11.66,17.557577,4.383362706345209,-6.764197,0.61492795,0.8256421,Safe
140000000,0.038791865,1.2735596,-11.72,12.469166,4.326077054727704,-6.576501,0.61587334,0.82013327,Safe
160000000,0.07748747,1.3083664,-11.78,-1.3093104,4.287885069822739,-6.657613,0.62347996,0.8148123,Safe
120000000,0.014213996,1.3050333,-11.82,-4.0488844,4.3313093435681305,-6.559355,0.64537036,0.81141526,Safe
160000000,0.084615245,1.3808279,-12.0,-13.068573,4.294953508068965,-6.7437334,0.65556055,0.7939884,Safe
70000000,0.012954707,1.3494805,-12.12,16.171494,4.298351559088107,-6.6684513,0.6451535,0.7829877,Safe
140000000,0.023996145,1.321489,-11.54,-8.599044,4.3313096964240385,-6.588734,0.64829296,0.83735406,Safe
70000000,0.060276665,1.3817425,-11.51,7.5489545,4.3781315147540685,-6.6526976,0.64667344,0.8403573,Safe
120000000,0.02234929,1.3728482,-12.02,-2.263626,4.312213541289209,-6.795779,0.64223546,0.7927255,Safe
120000000,0.053445306,1.248791,-11.88,-22.065924,4.339939582001136,-6.599819,0.56747526,0.8052355,Safe
90000000,0.0455674,1.3851728,-11.29,8.010028,4.350405285020866,-6.65782,0.6538782,0.8620769,Safe
160000000,0.07059656,1.358728,-11.56,-1.594572,4.261994973075484,-6.7268744,0.6198827,0.8357567,Safe
140000000,0.090656586,1.3298392,-11.7,3.9321547,4.274022895076697,-6.6897473,0.64563036,0.822229,Safe
70000000,0.003330247,1.3264564,-11.5,12.647156,4.260159568984305,-6.6456146,0.6546098,0.8415376,Safe
90000000,0.09721556,1.314437,-11.66,4.507706,4.345171988475267,-6.6268535,0.65368456,0.8259956,Safe
100000000,0.03696171,1.2565488,-12.06,-6.5008674,4.367666143732719,-6.6544623,0.5955689,0.7884654,Safe
90000000,0.10711935,1.3898723,-11.78,-9.828319,4.317445803104834,-6.6542406,0.67217267,0.8145678,Safe
140000000,0.04318448,1.3701013,-12.37,10.401842,4.405855884556214,-6.7445555,0.6418732,0.7609183,Safe
100000000,0.029440021,1.3465824,-11.49,-11.408326,4.265391930309177,-6.5861177,0.62030184,0.84261763,Safe
100000000,0.02505407,1.366784,-11.68,-4.1429763,4.334708242974408,-6.733618,0.6022409,0.82376736,Safe
120000000,0.004623878,1.3829434,-11.61,-5.9333215,4.270624829061589,-6.7506647,0.6677834,0.8303382,Safe
100000000,0.008900307,1.2692305,-11.59,6.6516905,4.284488466581363,-6.613598,0.58144766,0.8323647,Safe
160000000,0.049201272,1.3277334,-11.28,3.9024758,4.253364399003496,-6.6638737,0.5829122,0.8625746,Safe
120000000,0.015944924,1.2804207,-11.78,-4.221159,4.306981965031612,-6.647418,0.59813887,0.8150747,Safe
90000000,0.08351892,1.2714053,-12.39,-5.058778,4.381528324662442,-6.7148747,0.5964588,0.7591951,Safe
100000000,0.029911024,1.3569016,-11.75,-4.527995,4.345172948980492,-6.7125454,0.60436237,0.81706285,Safe
140000000,0.042877425,1.3699175,-11.54,-4.019955,4.248131813351481,-6.6935387,0.61515975,0.8373796,Safe
120000000,0.16499346,1.3179725,-11.93,0.53587115,4.279255238906757,-6.6976776,0.6295645,0.80111873,Safe
140000000,0.002722868,1.2765328,-12.06,-3.0869355,4.26722682623189,-6.7314696,0.62910056,0.7886069,Safe
100000000,0.0907149,1.3365626,-11.75,-0.1994561,4.303584530884162,-6.7166286,0.62900203,0.81748396,Safe
70000000,0.06836952,1.3297964,-11.83,-8.962622,4.281089761318919,-6.7440586,0.6176913,0.80982697,Safe
100000000,0.039655868,1.2834957,-12.08,17.163221,4.3538024901579755,-6.7154293,0.5526075,0.78742045,Safe
160000000,0.025570322,1.400804,-11.42,-9.017336,4.312213411696641,-6.7188835,0.63310766,0.849227,Safe
70000000,0.049727973,1.3002899,-12.08,5.28971,4.312213578244944,-6.7072225,0.61679727,0.78718656,Safe
120000000,0.0011792047,1.3934222,-11.55,4.4460335,4.33130883305825,-6.7520323,0.63261336,0.8369794,Safe
70000000,0.051636662,1.3363547,-12.04,-6.5343695,4.281089566293503,-6.7048683,0.6345817,0.79038054,Safe
